time-step,number of users,used cloudlets,used cpu avg,used cpu std,unused cpu,used storage avg,used storage std,unused storage,used ram avg,used ram std,unused ram
1,32,4,42.40200892857143,11.14732980692588,230.39196428571427,64.02926974826389,19.965069822711882,230.39196428571427,61.53227153577303,10.354584011089816,153.87091385690786
61,49,7,43.604910714285715,27.457998180589875,394.765625,61.002797929067455,24.644803925815367,394.765625,60.35812492657425,32.97109228935597,277.49312551398026
121,69,8,47.093191964285715,31.100584106246963,423.25446428571433,61.34558783637153,25.925912845952872,423.25446428571433,61.342741313733555,30.46541435986349,309.25806949013156
181,91,10,53.03370535714286,25.081680913459426,469.66294642857144,66.29916720920139,24.009492071019658,469.66294642857144,71.70917711759868,24.796178390613218,282.9082288240132
241,100,6,69.93013392857144,26.506746540992733,180.4191964285714,85.4434543185764,7.360932031234377,180.4191964285714,81.82469418174342,11.485486917030546,109.05183490953947
301,98,8,66.73510044642858,29.239350659000213,266.1191964285714,77.80541314019098,21.721133026201954,266.1191964285714,79.44653159693668,24.85545184254734,164.4277472245066
361,91,6,68.75811011904763,23.888106174496095,187.45133928571425,80.6373878761574,15.310575744580719,187.45133928571425,86.62435966625549,16.077736414907875,80.25384200246711
421,80,7,67.36964285714286,26.33969505043394,228.4125,76.94605267237102,12.291340823714597,228.4125,76.71201318726504,22.23806179234949,163.0159076891447
481,74,8,60.24849330357143,28.823394154035846,318.01205357142857,69.63102552625868,25.487872111903055,318.01205357142857,72.06846538342927,28.784902644100605,223.45227693256578
541,61,4,58.04475446428572,35.02765320850344,167.82098214285713,60.672505696614586,32.9862423818016,167.82098214285713,61.17352937397204,35.79177042101756,155.30588250411182
601,45,3,57.68779761904762,29.90662552529155,126.93660714285714,62.68310546875,11.875453445716149,126.93660714285714,61.76104629248903,9.2002260885307,114.71686112253289
661,40,4,62.45446428571428,39.2988100864489,150.18214285714285,61.71959771050347,31.142598586944846,150.18214285714285,56.54023822985198,31.669360313610618,173.8390470805921
721,30,2,68.65825892857143,31.173437499999995,62.68348214285715,69.74758572048611,8.045111762152775,62.68348214285715,62.44956568667763,11.209588301809216,75.10086862664474
781,12,2,45.37299107142857,38.238169642857144,109.25401785714286,53.13788519965278,42.00439453125001,109.25401785714286,59.970735248766445,38.904611687911185,80.05852950246711
841,3,1,23.101785714285715,0.0,76.89821428571429,24.346923828125,0.0,76.89821428571429,32.898912931743425,0.0,67.10108706825658
