time-step,number of users,exec time,pricing time,two-phases time
1,32,1.6846942901611328,93.6719274520874,"[0.015555620193481445, 1.6686632633209229]"
61,49,3.1770095825195312,388.60965752601624,"[0.03606581687927246, 3.1404404640197754]"
121,69,6.891201972961426,543.6250126361847,"[0.03354787826538086, 6.857083320617676]"
181,91,8.704672574996948,1011.1441750526428,"[0.04193401336669922, 8.662220239639282]"
241,100,11.350357055664062,925.3932209014893,"[0.0314788818359375, 11.318349599838257]"
301,98,11.51001262664795,1040.7000532150269,"[0.037259817123413086, 11.472213506698608]"
361,91,10.386834144592285,849.3018352985382,"[0.03611111640930176, 10.350197792053223]"
421,80,8.318270683288574,568.8081588745117,"[0.02821040153503418, 8.28954005241394]"
481,74,6.18424129486084,697.8890106678009,"[0.03545236587524414, 6.148282289505005]"
541,61,6.271382570266724,400.3575990200043,"[0.01633739471435547, 6.254499435424805]"
601,45,8.948178768157959,207.58066177368164,"[0.026630163192749023, 8.920815706253052]"
661,40,4.174504518508911,98.32899594306946,"[0.011480331420898438, 4.162592649459839]"
721,30,2.317148208618164,32.99575352668762,"[0.006683349609375, 2.3100554943084717]"
781,12,0.5576586723327637,18.4951012134552,"[0.010485172271728516, 0.5467467308044434]"
841,3,0.14345002174377441,0.4304797649383545,"[0.0015621185302734375, 0.14148569107055664]"
