time-step,number of users,avg latency (for the allocated)
1,1,0.4894509312591777
31,1,0.3425002283062402
61,1,0.35129672211964813
91,1,0.04354861089762565
121,1,0.2871326354061639
151,1,0.7852934001395845
181,1,0.881833142250365
211,1,1.2010667697498145
241,1,1.5601677888741379
271,1,1.4340172500343902
301,1,1.958436478814574
331,1,2.0614577461850314
361,1,2.8470031862077687
391,1,2.9624830910091045
421,1,3.1951586471079882
451,1,4.094539853347596
481,1,4.961919879881426
511,1,5.0034304788093005
541,1,6.401078705946012
571,1,7.111271714649654
601,1,6.32182214111211
631,1,7.0746528715261086
661,1,7.1399891037744645
691,1,8.00385366349135
721,1,8.068605491190358
751,1,8.48687330906046
781,1,10.472796187786374
811,1,10.60337851145685
841,1,11.162820012992519
871,1,11.781618194989498
901,1,11.83167324416055
931,1,12.241600307897475
961,1,13.278303434058662
991,1,13.109711080847703
1021,1,13.696489059829412
1051,1,13.84109685918068
1081,1,15.068403902760739
1111,1,15.00773202859273
1141,1,16.117701362728653
1171,1,16.011069274366008
1201,1,13.190339465811707
1231,1,13.177951276781831
1261,1,12.589021702784452
1291,1,12.012015235549958
1321,1,11.916686240813101
1351,1,11.327065670226185
1381,1,15.374497486723905
1411,1,16.627966318991746
1441,1,16.414643512309038
1471,1,17.006384205518113
1501,1,18.011063314576113
1531,1,19.187161473338115
1561,1,20.435757448834533
1591,1,21.52440985635651
1621,1,21.94203744497706
1651,1,21.77920923942058
1681,1,22.94498876340202
1711,1,24.056146140709824
1741,1,24.738183337606785
1771,1,25.111690436582585
1801,1,25.086940372226692
1831,1,25.562989471336525
1861,1,25.86452681428913
1891,1,26.278336521681076
1921,1,25.996103046366148
1951,1,25.592987951971907
1981,1,25.841850425341867
2011,1,26.67944527273065
2041,1,27.69886757664338
2071,1,27.218868660130088
2101,1,27.288460183646333
2131,1,28.429437418437477
2161,1,28.88798879850808
2191,1,28.9768834406692
2221,1,28.981933936690055
2251,1,29.451057082464384
2281,1,29.004507244853286
2311,1,28.37912572467645
