time-step,number of users,number of winners,social welfare
1,1,1,800
31,1,1,800
61,1,1,800
91,1,1,800
121,1,1,800
151,1,1,800
181,1,1,800
211,1,1,800
241,1,1,800
271,1,1,800
301,1,1,800
331,1,1,800
361,1,1,800
391,1,1,800
421,1,1,800
451,1,1,800
481,1,1,800
511,1,1,800
541,1,1,800
571,1,1,800
601,1,1,800
631,1,1,800
661,1,1,800
691,1,1,800
721,1,1,800
751,1,1,800
781,1,1,800
811,1,1,800
841,1,1,800
871,1,1,800
901,1,1,800
931,1,1,800
961,1,1,800
991,1,1,800
1021,1,1,800
1051,1,1,800
1081,1,1,800
1111,1,1,800
1141,1,1,800
1171,1,1,800
1201,1,1,800
1231,1,1,800
1261,1,1,800
1291,1,1,800
1321,1,1,800
1351,1,1,800
1381,1,1,800
1411,1,1,800
1441,1,1,800
1471,1,1,800
1501,1,1,800
1531,1,1,800
1561,1,1,800
1591,1,1,800
1621,1,1,800
1651,1,1,800
1681,1,1,800
1711,1,1,800
1741,1,1,800
1771,1,1,800
1801,1,1,800
1831,1,1,800
1861,1,1,800
1891,1,1,800
1921,1,1,800
1951,1,1,800
1981,1,1,800
2011,1,1,800
2041,1,1,800
2071,1,1,800
2101,1,1,800
2131,1,1,800
2161,1,1,800
2191,1,1,800
2221,1,1,800
2251,1,1,800
2281,1,1,800
2311,1,1,800
