time-step,number of users,number of winners,social welfare
1,25,10,3455
61,25,10,3455
121,25,15,5254
181,25,23,10418
241,25,10,3455
301,25,15,5254
361,25,17,6861
421,25,17,6861
481,25,17,6861
541,25,19,8461
601,25,25,11588
661,25,25,11588
721,25,17,6861
781,25,17,6861
841,25,10,3455
