time-step,number of users,number of winners,social welfare
1,8,8,4486
61,8,8,4486
121,14,11,6200
181,18,15,9039
241,24,22,12039
301,25,22,12079
361,25,18,10085
421,25,12,5680
481,25,12,5680
541,25,18,9686
601,25,25,13645
661,21,13,6079
721,13,13,6272
781,10,8,4198
