time-step,number of users,exec time,pricing time,two-phases time
1,8,0.0003731250762939453,0.0001418590545654297,[]
61,8,0.00036072731018066406,0.00015401840209960938,[]
121,14,0.00040793418884277344,0.01701807975769043,[]
181,18,0.00039887428283691406,0.031221628189086914,[]
241,24,0.0003807544708251953,0.058818817138671875,[]
301,25,0.0004410743713378906,0.08212471008300781,[]
361,25,0.0004799365997314453,0.044391632080078125,[]
421,25,0.00041604042053222656,0.03110480308532715,[]
481,25,0.0004239082336425781,0.03799557685852051,[]
541,25,0.0004329681396484375,0.04743790626525879,[]
601,25,0.0004553794860839844,0.00042891502380371094,[]
661,21,0.0004048347473144531,0.037444353103637695,[]
721,13,0.0005228519439697266,0.00019669532775878906,[]
781,10,0.00045108795166015625,0.010367393493652344,[]
