time-step,number of users,exec time,pricing time,two-phases time
1,32,0.000946044921875,0.009951591491699219,[]
61,49,0.0015742778778076172,0.01912379264831543,[]
121,69,0.0017609596252441406,0.023736000061035156,[]
181,91,0.0023381710052490234,0.0451200008392334,[]
241,100,0.001962900161743164,0.030074357986450195,[]
301,98,0.0022661685943603516,0.03747391700744629,[]
361,91,0.0021774768829345703,0.02741265296936035,[]
421,80,0.0018396377563476562,0.028804302215576172,[]
481,74,0.002203702926635742,0.033796072006225586,[]
541,61,0.0019216537475585938,0.01223301887512207,[]
601,45,0.0012259483337402344,0.007662534713745117,[]
661,40,0.0017273426055908203,0.010695219039916992,[]
721,30,0.0010483264923095703,0.005899190902709961,[]
781,12,0.0009205341339111328,0.0028798580169677734,[]
841,3,0.0007586479187011719,0.0009620189666748047,[]
