time-step,number of users,number of winners,social welfare
1,35,35,15990
61,66,62,29785
121,82,77,35376
181,96,65,27349
241,100,68,28348
301,100,74,31147
361,100,82,36742
421,86,74,31550
481,73,60,25606
541,48,40,18044
601,22,18,7945
661,16,12,5754
721,10,10,4433
781,9,9,3623
