time-step,number of users,avg latency (for the allocated)
1,32,0.2048030157523871
61,43,0.28386787782814066
121,72,0.3467837088258101
181,86,0.289054229442439
241,97,0.2145042389861034
301,100,0.24898219253420328
361,100,0.1836523375600717
421,100,0.10901861805379559
481,100,0.3551581577515095
541,100,0.2371455176400907
601,100,0.16702373950620225
661,95,0.39925905262937794
721,82,0.28480678227975037
781,62,0.31710712313836553
841,51,0.34639521196933826
901,46,0.22915514477935
961,38,0.17578858897850186
1021,36,0.32971511019368543
1081,19,0.2875066861265597
1141,15,0.3162902372971221
1201,12,0.16840005973387198
1261,9,0.3510740868461517
