time-step,number of users,prices
1,20,970.54033349575
61,22,848.6679930702182
121,27,564.8794326241134
181,25,853.8723404255319
241,27,564.8794326241134
301,22,866.8794326241134
361,24,584.0
421,22,600.0
481,20,450.0
541,15,0
601,15,0
661,14,0
721,9,0
781,7,0
841,6,0
