time-step,number of users,number of winners,prices
1,73,72,4318.996350586098
61,101,92,10267.140607565201
121,130,115,14179.732717439301
181,163,121,28304.94568447121
241,205,183,48675.513884693915
301,234,124,52231.9553749919
361,246,183,57861.62662703787
421,248,158,60993.66755959861
481,250,181,49777.08524796764
541,250,155,64488.558970334954
601,250,171,60711.9802322285
661,250,142,52860.6920184636
721,250,174,51373.451723201644
781,250,167,60497.44912079945
841,247,165,50674.56858664499
901,243,172,54411.5259279274
961,227,156,39219.4167537905
1021,207,159,56504.0986693398
1081,184,135,38339.56495296277
1141,151,121,40688.97098199513
1201,133,111,25839.286914163495
1261,105,76,30727.69476477031
1321,77,67,10971.825209842753
1381,55,47,7301.002506659621
1441,40,34,8865.80008800745
1501,35,35,0
1561,17,17,0
1621,14,14,0
1681,11,11,0
1741,10,10,0
1801,8,8,0
1861,8,8,0
1921,7,7,0
