time-step,number of users,number of winners,social welfare
1,32,32,13897
61,49,49,24008
121,69,58,29043
181,91,82,41064
241,100,60,31432
301,98,67,37819
361,91,58,30414
421,80,60,32971
481,74,70,34548
541,61,33,15944
601,45,22,11869
661,40,25,15681
721,30,15,8746
781,12,12,6740
841,3,3,1713
