time-step,number of winners,result list
1,27,"[('v6', 'c3'), ('v10', 'c10'), ('v13', 'c45'), ('v14', 'c3'), ('v18', 'c10'), ('v21', 'c0'), ('v23', 'c10'), ('v35', 'c3'), ('v2', 'c10'), ('v4', 'c45'), ('v9', 'c45'), ('v12', 'c45'), ('v15', 'c3'), ('v17', 'c10'), ('v27', 'c0'), ('v43', 'c45'), ('v76', 'c3'), ('v3', 'c10'), ('v5', 'c50'), ('v19', 'c50'), ('v20', 'c0'), ('v95', 'c0'), ('v7', 'c45'), ('v8', 'c45'), ('v11', 'c50'), ('v22', 'c10'), ('v62', 'c0')]"
61,42,"[('v14', 'c3'), ('v0', 'c21'), ('v6', 'c3'), ('v10', 'c9'), ('v13', 'c21'), ('v18', 'c9'), ('v21', 'c0'), ('v23', 'c10'), ('v24', 'c21'), ('v25', 'c21'), ('v69', 'c30'), ('v46', 'c25'), ('v4', 'c21'), ('v15', 'c3'), ('v2', 'c9'), ('v17', 'c9'), ('v27', 'c0'), ('v43', 'c34'), ('v83', 'c30'), ('v26', 'c30'), ('v72', 'c30'), ('v78', 'c9'), ('v1', 'c21'), ('v3', 'c9'), ('v5', 'c3'), ('v19', 'c30'), ('v20', 'c0'), ('v95', 'c0'), ('v30', 'c3'), ('v90', 'c21'), ('v98', 'c9'), ('v92', 'c25'), ('v7', 'c21'), ('v8', 'c21'), ('v22', 'c9'), ('v62', 'c0'), ('v40', 'c0'), ('v44', 'c0'), ('v73', 'c21'), ('v54', 'c9'), ('v89', 'c21'), ('v33', 'c5')]"
121,51,"[('v10', 'c46'), ('v23', 'c46'), ('v0', 'c21'), ('v6', 'c26'), ('v13', 'c21'), ('v18', 'c46'), ('v21', 'c37'), ('v24', 'c34'), ('v25', 'c21'), ('v69', 'c26'), ('v46', 'c26'), ('v68', 'c37'), ('v48', 'c10'), ('v59', 'c10'), ('v75', 'c3'), ('v16', 'c34'), ('v27', 'c37'), ('v78', 'c46'), ('v2', 'c46'), ('v17', 'c46'), ('v43', 'c21'), ('v42', 'c10'), ('v51', 'c3'), ('v74', 'c3'), ('v88', 'c3'), ('v82', 'c40'), ('v98', 'c46'), ('v1', 'c34'), ('v3', 'c46'), ('v5', 'c26'), ('v19', 'c26'), ('v20', 'c37'), ('v30', 'c26'), ('v90', 'c3'), ('v56', 'c48'), ('v67', 'c26'), ('v57', 'c10'), ('v99', 'c3'), ('v7', 'c21'), ('v8', 'c21'), ('v22', 'c46'), ('v62', 'c37'), ('v40', 'c37'), ('v44', 'c37'), ('v73', 'c21'), ('v89', 'c3'), ('v33', 'c26'), ('v28', 'c48'), ('v64', 'c48'), ('v84', 'c48'), ('v93', 'c48')]"
181,61,"[('v14', 'c1'), ('v0', 'c3'), ('v6', 'c18'), ('v10', 'c17'), ('v13', 'c3'), ('v18', 'c17'), ('v21', 'c39'), ('v23', 'c17'), ('v24', 'c3'), ('v25', 'c3'), ('v69', 'c1'), ('v46', 'c18'), ('v68', 'c39'), ('v48', 'c10'), ('v59', 'c10'), ('v75', 'c50'), ('v41', 'c39'), ('v55', 'c39'), ('v77', 'c39'), ('v79', 'c17'), ('v60', 'c39'), ('v37', 'c3'), ('v71', 'c3'), ('v70', 'c17'), ('v27', 'c12'), ('v17', 'c17'), ('v42', 'c10'), ('v58', 'c39'), ('v98', 'c17'), ('v92', 'c1'), ('v3', 'c17'), ('v5', 'c1'), ('v19', 'c1'), ('v30', 'c18'), ('v67', 'c1'), ('v57', 'c10'), ('v99', 'c50'), ('v47', 'c50'), ('v53', 'c10'), ('v36', 'c30'), ('v80', 'c30'), ('v11', 'c1'), ('v28', 'c39'), ('v64', 'c12'), ('v7', 'c3'), ('v8', 'c3'), ('v22', 'c17'), ('v62', 'c12'), ('v40', 'c12'), ('v44', 'c39'), ('v73', 'c3'), ('v54', 'c17'), ('v89', 'c3'), ('v33', 'c18'), ('v93', 'c12'), ('v91', 'c10'), ('v34', 'c10'), ('v52', 'c12'), ('v45', 'c3'), ('v31', 'c12'), ('v96', 'c5')]"
241,61,"[('v0', 'c25'), ('v37', 'c26'), ('v71', 'c26'), ('v6', 'c29'), ('v10', 'c26'), ('v14', 'c29'), ('v18', 'c26'), ('v21', 'c28'), ('v23', 'c26'), ('v25', 'c5'), ('v35', 'c29'), ('v69', 'c29'), ('v46', 'c29'), ('v68', 'c28'), ('v48', 'c26'), ('v59', 'c26'), ('v75', 'c5'), ('v41', 'c28'), ('v55', 'c28'), ('v77', 'c28'), ('v79', 'c26'), ('v60', 'c28'), ('v70', 'c26'), ('v50', 'c28'), ('v86', 'c28'), ('v38', 'c5'), ('v39', 'c5'), ('v15', 'c29'), ('v9', 'c25'), ('v17', 'c26'), ('v43', 'c25'), ('v76', 'c35'), ('v85', 'c25'), ('v51', 'c5'), ('v74', 'c5'), ('v30', 'c29'), ('v92', 'c29'), ('v3', 'c26'), ('v5', 'c35'), ('v19', 'c29'), ('v90', 'c25'), ('v67', 'c35'), ('v63', 'c5'), ('v45', 'c26'), ('v7', 'c5'), ('v8', 'c5'), ('v11', 'c29'), ('v22', 'c26'), ('v40', 'c28'), ('v73', 'c5'), ('v54', 'c26'), ('v89', 'c5'), ('v33', 'c29'), ('v84', 'c28'), ('v93', 'c28'), ('v91', 'c26'), ('v34', 'c26'), ('v52', 'c28'), ('v31', 'c28'), ('v96', 'c5'), ('v66', 'c28')]"
301,66,"[('v0', 'c16'), ('v13', 'c25'), ('v24', 'c16'), ('v48', 'c25'), ('v59', 'c25'), ('v37', 'c25'), ('v6', 'c43'), ('v10', 'c5'), ('v14', 'c43'), ('v18', 'c5'), ('v23', 'c5'), ('v25', 'c16'), ('v35', 'c43'), ('v69', 'c43'), ('v75', 'c16'), ('v79', 'c5'), ('v71', 'c25'), ('v70', 'c5'), ('v38', 'c38'), ('v39', 'c25'), ('v16', 'c26'), ('v42', 'c5'), ('v2', 'c30'), ('v4', 'c26'), ('v9', 'c26'), ('v12', 'c16'), ('v17', 'c30'), ('v43', 'c26'), ('v76', 'c43'), ('v83', 'c43'), ('v85', 'c26'), ('v78', 'c30'), ('v51', 'c16'), ('v74', 'c16'), ('v57', 'c5'), ('v3', 'c30'), ('v5', 'c43'), ('v19', 'c43'), ('v90', 'c16'), ('v98', 'c5'), ('v67', 'c43'), ('v99', 'c16'), ('v53', 'c5'), ('v44', 'c28'), ('v64', 'c28'), ('v91', 'c25'), ('v34', 'c25'), ('v31', 'c28'), ('v65', 'c28'), ('v7', 'c16'), ('v8', 'c25'), ('v11', 'c43'), ('v22', 'c5'), ('v62', 'c50'), ('v40', 'c50'), ('v73', 'c25'), ('v54', 'c5'), ('v89', 'c16'), ('v33', 'c43'), ('v84', 'c50'), ('v93', 'c28'), ('v52', 'c28'), ('v45', 'c25'), ('v96', 'c25'), ('v66', 'c28'), ('v61', 'c50')]"
361,53,"[('v48', 'c3'), ('v6', 'c2'), ('v10', 'c3'), ('v14', 'c2'), ('v18', 'c3'), ('v23', 'c3'), ('v24', 'c38'), ('v69', 'c2'), ('v59', 'c30'), ('v79', 'c3'), ('v37', 'c43'), ('v71', 'c43'), ('v70', 'c3'), ('v38', 'c43'), ('v39', 'c43'), ('v78', 'c30'), ('v9', 'c38'), ('v15', 'c2'), ('v17', 'c3'), ('v76', 'c2'), ('v85', 'c38'), ('v26', 'c2'), ('v32', 'c2'), ('v3', 'c3'), ('v53', 'c3'), ('v1', 'c38'), ('v5', 'c2'), ('v19', 'c2'), ('v90', 'c38'), ('v98', 'c30'), ('v92', 'c2'), ('v57', 'c30'), ('v47', 'c43'), ('v36', 'c43'), ('v63', 'c43'), ('v44', 'c50'), ('v28', 'c50'), ('v7', 'c38'), ('v8', 'c38'), ('v11', 'c2'), ('v22', 'c3'), ('v40', 'c50'), ('v73', 'c38'), ('v54', 'c3'), ('v89', 'c38'), ('v84', 'c50'), ('v93', 'c50'), ('v91', 'c3'), ('v34', 'c3'), ('v52', 'c50'), ('v45', 'c43'), ('v96', 'c43'), ('v65', 'c50')]"
421,53,"[('v18', 'c32'), ('v23', 'c32'), ('v0', 'c24'), ('v10', 'c32'), ('v13', 'c43'), ('v24', 'c43'), ('v25', 'c43'), ('v48', 'c28'), ('v59', 'c28'), ('v79', 'c28'), ('v37', 'c36'), ('v71', 'c36'), ('v70', 'c28'), ('v38', 'c36'), ('v39', 'c36'), ('v4', 'c43'), ('v2', 'c32'), ('v9', 'c43'), ('v12', 'c43'), ('v43', 'c43'), ('v85', 'c24'), ('v78', 'c32'), ('v42', 'c28'), ('v51', 'c36'), ('v74', 'c36'), ('v1', 'c24'), ('v3', 'c32'), ('v90', 'c24'), ('v98', 'c32'), ('v57', 'c28'), ('v53', 'c28'), ('v80', 'c36'), ('v63', 'c36'), ('v44', 'c14'), ('v28', 'c14'), ('v64', 'c50'), ('v31', 'c50'), ('v65', 'c50'), ('v7', 'c24'), ('v8', 'c24'), ('v62', 'c50'), ('v40', 'c14'), ('v73', 'c24'), ('v89', 'c24'), ('v84', 'c14'), ('v93', 'c14'), ('v91', 'c28'), ('v34', 'c28'), ('v52', 'c14'), ('v45', 'c36'), ('v96', 'c36'), ('v66', 'c14'), ('v61', 'c50')]"
481,65,"[('v18', 'c39'), ('v0', 'c44'), ('v10', 'c12'), ('v13', 'c44'), ('v21', 'c7'), ('v24', 'c44'), ('v25', 'c44'), ('v68', 'c14'), ('v48', 'c39'), ('v59', 'c12'), ('v75', 'c37'), ('v41', 'c22'), ('v55', 'c14'), ('v77', 'c14'), ('v79', 'c39'), ('v60', 'c14'), ('v37', 'c37'), ('v71', 'c37'), ('v70', 'c39'), ('v50', 'c22'), ('v86', 'c14'), ('v39', 'c37'), ('v4', 'c44'), ('v78', 'c12'), ('v82', 'c14'), ('v2', 'c39'), ('v9', 'c44'), ('v12', 'c44'), ('v16', 'c44'), ('v85', 'c23'), ('v51', 'c37'), ('v74', 'c37'), ('v58', 'c22'), ('v98', 'c39'), ('v97', 'c22'), ('v1', 'c44'), ('v3', 'c12'), ('v20', 'c7'), ('v95', 'c7'), ('v56', 'c14'), ('v57', 'c39'), ('v99', 'c37'), ('v53', 'c12'), ('v63', 'c37'), ('v22', 'c39'), ('v54', 'c39'), ('v64', 'c14'), ('v7', 'c44'), ('v8', 'c44'), ('v62', 'c7'), ('v40', 'c7'), ('v44', 'c7'), ('v73', 'c23'), ('v89', 'c37'), ('v28', 'c14'), ('v84', 'c22'), ('v93', 'c14'), ('v91', 'c12'), ('v34', 'c12'), ('v52', 'c14'), ('v45', 'c37'), ('v96', 'c37'), ('v66', 'c14'), ('v61', 'c7'), ('v65', 'c7')]"
541,34,"[('v0', 'c48'), ('v10', 'c37'), ('v13', 'c48'), ('v18', 'c37'), ('v23', 'c37'), ('v24', 'c48'), ('v25', 'c48'), ('v48', 'c37'), ('v59', 'c37'), ('v75', 'c0'), ('v79', 'c37'), ('v71', 'c8'), ('v70', 'c37'), ('v2', 'c37'), ('v4', 'c48'), ('v9', 'c48'), ('v12', 'c48'), ('v16', 'c48'), ('v17', 'c37'), ('v1', 'c48'), ('v3', 'c37'), ('v53', 'c37'), ('v7', 'c48'), ('v8', 'c48'), ('v22', 'c37'), ('v62', 'c41'), ('v40', 'c41'), ('v84', 'c41'), ('v93', 'c41'), ('v91', 'c37'), ('v34', 'c37'), ('v52', 'c41'), ('v66', 'c41'), ('v61', 'c41')]"
