time-step,number of users,avg latency (for the allocated)
1,32,0.21767535882581476
61,43,0.2792832821505375
121,72,0.36170279554388857
181,86,0.2969441908491725
241,97,0.23518637671020537
301,100,0.2520343535291893
361,100,0.18201715573260063
421,100,0.10741273224461072
481,100,0.3746648492088699
541,100,0.2254460480683131
601,100,0.17689950484101863
661,95,0.39042278514396117
721,82,0.3044553895769251
781,62,0.307574574336684
841,51,0.346396263769939
901,46,0.21898805904982607
961,38,0.17898534427259954
1021,36,0.3516021084211659
1081,19,0.2875066861265598
1141,15,0.21649095598827112
1201,11,0.16840005973387198
1261,9,0.3510740868461517
