time-step,number of users,exec time,pricing time,two-phases time
1,31,1.2244246006011963,0.16233038902282715,[]
61,39,1.8169565200805664,0.4360628128051758,[]
121,56,2.3025450706481934,0.538262128829956,[]
181,65,2.931576728820801,1.7473938465118408,[]
241,80,4.217261791229248,6.654902219772339,[]
301,91,4.2429282665252686,2.861783981323242,[]
361,97,5.549752235412598,10.873865604400635,[]
421,97,5.872679710388184,58.72914433479309,[]
481,97,5.370428085327148,12.41821026802063,[]
541,100,6.8969926834106445,28.357555150985718,[]
601,100,6.393076181411743,7.580373764038086,[]
661,98,5.366387128829956,9.223896265029907,[]
721,83,4.427201271057129,4.571906805038452,[]
781,69,4.373938798904419,8.013819932937622,[]
841,59,2.9070544242858887,0.7390007972717285,[]
901,44,2.3635876178741455,2.318310022354126,[]
961,44,2.687898635864258,3.9327123165130615,[]
1021,44,2.6587283611297607,0.7967846393585205,[]
1081,42,2.1547691822052,1.536574125289917,[]
1141,36,1.8427035808563232,0.20894622802734375,[]
1201,30,1.53883957862854,0.20249176025390625,[]
1261,26,1.3064513206481934,0.09876728057861328,[]
1321,20,1.0741612911224365,0.07502985000610352,[]
1381,15,0.7162976264953613,0.04145479202270508,[]
1441,14,0.654961347579956,0.05152320861816406,[]
1501,2,0.08522319793701172,0.0019881725311279297,[]
