time-step,number of users,number of winners,social welfare
1,35,35,15990
61,66,63,30176
121,82,77,35675
181,96,58,29143
241,100,68,33429
301,100,66,32546
361,100,82,38958
421,86,69,32329
481,73,62,26004
541,48,39,18262
601,22,18,9262
661,16,16,7357
721,10,10,4433
781,9,9,3623
