time-step,number of users,used cloudlets,used cpu avg,used cpu std,unused cpu,used storage avg,used storage std,unused storage,used ram avg,used ram std,unused ram
1,32,4,44.233147321428575,20.34609249924767,223.06741071428573,59.16408962673611,29.319634905917617,223.06741071428573,57.563219572368425,31.507903642038258,169.7471217105263
61,43,9,27.748511904761905,13.834742465022021,650.2633928571429,39.061972535686735,20.433271213101943,650.2633928571429,41.22253774899488,24.44008248525984,528.997160259046
121,72,11,41.81258116883117,21.873399156089178,640.0616071428572,56.335819128787875,25.94617761768319,640.0616071428572,58.35179963180323,22.71719933838279,458.1302040501645
181,86,11,44.747646103896095,25.662931170909978,607.7758928571428,60.955440636837125,33.09843581147819,607.7758928571428,63.82904782819976,31.352523985976745,397.8804738898026
241,97,9,60.26651785714286,24.47515307142212,357.6013392857143,70.06255726755401,26.473604954618253,357.6013392857143,73.06939732958699,25.030731949547544,242.37542403371705
301,100,11,52.87564935064934,30.3519538873356,518.3678571428572,63.39869643702651,30.25478005329829,518.3678571428572,65.99164898886063,29.54812317308383,374.09186112253286
361,100,8,64.88297991071428,28.884779028139018,280.93616071428573,71.0645039876302,26.748465294023188,280.93616071428573,73.1848867315995,27.742823697863397,214.52090614720393
421,100,4,91.48426339285714,6.141130269293655,34.06294642857143,98.39460584852431,1.1562355981194934,34.06294642857143,96.35539807771382,3.7737441531024336,14.578407689144738
481,100,14,46.27082270408163,23.57667105684553,752.2084821428572,59.775410001240076,24.642697650523743,752.2084821428572,62.27696927866541,27.191124575488697,528.1224300986842
541,100,14,41.54349489795918,32.08370728146262,818.3910714285713,49.81641012524802,34.02171159889647,818.3910714285713,51.85221048226033,33.430855414304986,674.0690532483553
601,100,9,49.942906746031746,32.14349201205887,450.5138392857143,62.535867573302475,34.1579039377351,450.5138392857143,65.75217442205775,33.553082443072356,308.23043020148026
661,95,14,45.624075255102035,28.979410871913853,761.2629464285714,59.948197622147816,32.851328818250565,761.2629464285714,61.99545035684917,32.14236572694685,532.0636950041119
721,82,14,34.13609693877551,24.968548016712884,922.0946428571428,42.40199497767857,25.978639811540507,922.0946428571428,44.896451333411655,24.11170452805761,771.4496813322368
781,62,12,33.28753720238095,19.459931367277935,800.5495535714286,45.982021755642364,27.27159916575993,800.5495535714286,49.32355378803454,29.14979960915712,608.1173545435855
841,51,10,32.10674107142857,22.387635855000415,678.9325892857142,44.05483669704861,32.27395087615191,678.9325892857142,47.617315995065795,28.37074333996742,523.8268400493421
901,46,6,38.66979166666666,28.30185730297775,367.98125,50.507722077546305,35.581270262310646,367.98125,50.86868018434759,31.400379329302183,294.7879188939145
961,38,6,37.16726190476191,13.928898456713622,376.99642857142857,52.05530237268519,24.65330740356093,376.99642857142857,50.65644916735198,20.18007248012071,296.0613049958882
1021,36,8,24.760379464285716,19.130994697998986,601.9169642857142,37.64317830403646,25.912273366469588,601.9169642857142,36.02250751696135,25.78823927297404,511.8199398643092
1081,19,4,23.571205357142862,16.309172009866142,305.71517857142857,37.058512369791664,19.160239994234132,305.71517857142857,40.43948524876645,24.12351526890393,238.24205900493422
1141,15,2,40.07075892857142,24.085937499999996,119.85848214285716,60.85442437065973,25.274319118923618,119.85848214285716,66.40030710320724,33.46798545435855,67.19938579358552
1201,11,3,22.005654761904765,18.608724470690927,233.98303571428573,31.709572120949076,21.71616886187301,233.98303571428573,34.638307805646924,15.6422202055669,196.08507658305922
1261,9,1,55.354464285714286,0.0,44.645535714285714,72.87936740451389,0.0,44.645535714285714,77.57921720805922,0.0,22.420782791940788
