time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0013020038604736328,0.010399341583251953,[]
61,49,0.0012221336364746094,0.019242048263549805,[]
121,69,0.0016598701477050781,0.02549457550048828,[]
181,91,0.0020067691802978516,0.04392838478088379,[]
241,100,0.0021469593048095703,0.032277584075927734,[]
301,98,0.0025463104248046875,0.0452885627746582,[]
361,91,0.0025413036346435547,0.02928757667541504,[]
421,80,0.0027954578399658203,0.034850120544433594,[]
481,74,0.002128124237060547,0.0341649055480957,[]
541,61,0.0011970996856689453,0.012262821197509766,[]
601,45,0.0013959407806396484,0.007079124450683594,[]
661,40,0.0015566349029541016,0.018491744995117188,[]
721,30,0.0009698867797851562,0.004126071929931641,[]
781,12,0.0012722015380859375,0.003088235855102539,[]
841,3,0.000997304916381836,0.001186370849609375,[]
