time-step,number of users,number of winners,prices
1,32,29,3921.9962623317692
61,43,42,2360.0952287730984
121,72,70,1240.4026249155906
181,86,68,10368.147104721407
241,97,67,10928.324331600681
301,100,80,12214.599281133182
361,100,68,19436.741638559375
421,100,47,17693.4108930441
481,100,93,5585.761779595691
541,100,81,12857.276603657743
601,100,60,17784.539634640147
661,95,93,8451.752744386098
721,82,70,4085.656720311838
781,62,61,4161.21486053362
841,51,50,4218.535276209487
901,46,38,4087.524029828085
961,38,37,3684.656599848345
1021,36,36,0
1081,19,19,0
1141,15,15,0
1201,11,12,0
1261,9,9,0
