time-step,number of users,avg latency (for the allocated)
1,32,0.2048030157523871
61,43,0.25502905536014286
121,72,0.3467837088258101
181,86,0.28589660435071645
241,97,0.2145042389861034
301,100,0.24752582512997637
361,100,0.17811567610182416
421,100,0.10901861805379559
481,100,0.3617576048105952
541,100,0.2439258386835964
601,100,0.15571896792066167
661,95,0.3930276260934047
721,82,0.28480678227975037
781,62,0.3194012240463902
841,51,0.3559881998858456
901,46,0.22915514477935
961,38,0.17898534427259957
1021,36,0.3522813241748277
1081,19,0.2875066861265597
1141,15,0.3162902372971221
1201,11,0.16840005973387198
1261,9,0.3339215731203254
