time-step,number of users,exec time,pricing time,two-phases time
1,32,0.001127481460571289,0.00025081634521484375,[]
61,49,0.0011882781982421875,0.0003955364227294922,[]
121,69,0.0015654563903808594,0.029769182205200195,[]
181,91,0.002402067184448242,0.05014801025390625,[]
241,100,0.0019228458404541016,0.03472447395324707,[]
301,98,0.0022292137145996094,0.0393831729888916,[]
361,91,0.0019474029541015625,0.03221893310546875,[]
421,80,0.0017309188842773438,0.03239607810974121,[]
481,74,0.001821279525756836,0.038970232009887695,[]
541,61,0.0014004707336425781,0.014251708984375,[]
601,45,0.0011358261108398438,0.008902788162231445,[]
661,40,0.0012578964233398438,0.010239601135253906,[]
721,30,0.0012650489807128906,0.005562782287597656,[]
781,12,0.0009303092956542969,0.00014257431030273438,[]
841,3,0.0006639957427978516,8.0108642578125e-05,[]
