time-step,number of users,number of winners,social welfare
1,144,139,74516
61,190,181,96760
121,255,216,117232
181,321,250,133772
241,382,304,159769
301,436,265,138062
361,480,353,186028
421,493,288,146798
481,496,339,177469
541,500,336,170731
601,500,327,172745
661,500,292,147826
721,500,348,185774
781,500,341,178334
841,494,322,173658
901,484,329,177940
961,458,278,147318
1021,402,308,160065
1081,359,244,131092
1141,299,239,123898
1201,247,169,88046
1261,199,156,83746
1321,153,131,68880
1381,122,99,52031
1441,93,65,33594
1501,75,61,29684
1561,48,34,16653
1621,45,42,23722
1681,32,23,11524
1741,28,24,12213
1801,26,26,15186
1861,20,16,9922
1921,9,9,5576
