time-step,number of users,avg latency (for the allocated)
1,144,0.2880717578584101
61,190,0.28710583428564757
121,255,0.25382310922146223
181,321,0.22195673244764
241,382,0.25969952959922277
301,436,0.1488750794833939
361,480,0.23579430720243588
421,493,0.16143528183179306
481,496,0.20822366331815056
541,500,0.19879432218783788
601,500,0.1958328277990397
661,500,0.16187975389638207
721,500,0.238636982100342
781,500,0.1973900536826534
841,494,0.2201106798018734
901,484,0.23283984102602223
961,458,0.17900359830181273
1021,402,0.24595250431593174
1081,359,0.2372510534038623
1141,299,0.2414584467191803
1201,247,0.20874507231304454
1261,199,0.21361132321362902
1321,153,0.28556164811586127
1381,122,0.2618728399580388
1441,93,0.16864738412726094
1501,75,0.25534875487686537
1561,48,0.17755752107275125
1621,45,0.33170591578781194
1681,32,0.1676009947458687
1741,28,0.1694356649003903
1801,26,0.4260940222569175
1861,20,0.36047081613244597
1921,9,0.4368228325898609
