time-step,number of users,number of winners,social welfare
1,15,9,4338
61,15,9,4338
121,15,5,2223
181,15,9,4338
241,15,5,2223
301,15,5,2223
361,15,5,2223
421,15,5,2223
481,15,5,2223
541,15,5,2223
601,15,9,4338
661,15,9,4338
721,15,5,2223
781,15,5,2223
841,15,5,2223
