time-step,number of users,exec time,pricing time,two-phases time
1,32,1.6794044971466064,93.56129026412964,"[0.015422821044921875, 1.663525104522705]"
61,49,3.1570303440093994,387.7271406650543,"[0.03607439994812012, 3.120436906814575]"
121,69,13.330939292907715,1058.063577413559,"[0.06430983543395996, 13.265716791152954]"
181,91,16.502864122390747,1126.152898311615,"[0.07569074630737305, 16.426335334777832]"
241,100,11.251492738723755,918.6064348220825,"[0.0311887264251709, 11.219829320907593]"
301,98,11.450287342071533,1035.312837600708,"[0.037201881408691406, 11.412580013275146]"
361,91,10.346590757369995,844.4856381416321,"[0.03593301773071289, 10.31018614768982]"
421,80,8.246340990066528,564.6380217075348,"[0.028075218200683594, 8.217798471450806]"
481,74,6.171904563903809,697.3983585834503,"[0.0353238582611084, 6.136095762252808]"
541,61,6.225062131881714,234.72146153450012,"[0.016255617141723633, 6.208346843719482]"
601,45,4.541004180908203,134.21097087860107,"[0.013704538345336914, 4.526894807815552]"
661,40,3.8797929286956787,91.57612204551697,"[0.010674238204956055, 3.8687334060668945]"
721,30,2.1516029834747314,30.751731872558594,"[0.006273984909057617, 2.144930839538574]"
781,12,0.5173747539520264,17.200605630874634,"[0.009732723236083984, 0.5072629451751709]"
841,3,0.13367319107055664,0.4010031223297119,"[0.0014493465423583984, 0.1318495273590088]"
