time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0009508132934570312,0.012385129928588867,[]
61,49,0.001132965087890625,0.022050142288208008,[]
121,69,0.0012810230255126953,0.02755260467529297,[]
181,91,0.0014634132385253906,0.0450901985168457,[]
241,100,0.0016052722930908203,0.03498959541320801,[]
301,98,0.001638650894165039,0.04694628715515137,[]
361,91,0.001436471939086914,0.030103445053100586,[]
421,80,0.0014350414276123047,0.036891937255859375,[]
481,74,0.001322031021118164,0.03632688522338867,[]
541,61,0.0010879039764404297,0.014429092407226562,[]
601,45,0.0010132789611816406,0.008536338806152344,[]
661,40,0.0008847713470458984,0.012598752975463867,[]
721,30,0.0007033348083496094,0.00498199462890625,[]
781,12,0.0007495880126953125,0.003464221954345703,[]
841,3,0.0004227161407470703,0.0009677410125732422,[]
