time-step,number of users,exec time,pricing time,two-phases time
1,32,0.7527894973754883,25.6484215259552,"[0.015503883361816406, 0.7368509769439697]"
61,49,1.133148193359375,91.82840323448181,"[0.036437034606933594, 1.0962343215942383]"
121,69,1.5675506591796875,115.6279456615448,"[0.03245282173156738, 1.5346159934997559]"
181,91,2.083864450454712,188.991516828537,"[0.04077410697937012, 2.042609930038452]"
241,100,2.2744579315185547,165.910382270813,"[0.031271934509277344, 2.242692708969116]"
301,98,2.234692096710205,187.9460723400116,"[0.03716731071472168, 2.197026491165161]"
361,91,2.082944393157959,173.729346036911,"[0.036330223083496094, 2.046072006225586]"
421,80,1.8255982398986816,117.25363230705261,"[0.028005123138427734, 1.7971365451812744]"
481,74,1.6957786083221436,139.47276091575623,"[0.03547406196594238, 1.6598336696624756]"
541,61,1.3761630058288574,49.70800590515137,"[0.016321182250976562, 1.3593804836273193]"
601,45,1.022428274154663,31.92646598815918,"[0.013956069946289062, 1.007986068725586]"
661,40,0.9059464931488037,22.762879371643066,"[0.01156306266784668, 0.8939342498779297]"
721,30,0.6789920330047607,10.239664554595947,"[0.006757020950317383, 0.6718218326568604]"
781,12,0.28565478324890137,6.233002185821533,"[0.010489225387573242, 0.27475833892822266]"
841,3,0.07463335990905762,0.22581243515014648,"[0.0015671253204345703, 0.07267308235168457]"
