time-step,number of users,number of winners,social welfare
1,30,30,14463
61,45,38,19487
121,75,61,32207
181,91,76,39155
241,99,86,44796
301,100,66,34560
361,100,71,35193
421,100,60,32017
481,100,74,39571
541,100,82,44632
601,90,69,36441
661,59,48,23800
721,38,35,18461
781,19,18,10063
