time-step,number of users,number of winners,prices
1,100,100,0
61,100,100,0
121,100,100,0
181,100,100,0
241,99,99,0
301,97,98,0
361,92,92,0
421,74,74,0
481,67,67,0
541,61,63,0
601,48,48,0
661,39,39,0
721,32,33,0
781,21,21,0
841,13,13,0
901,10,10,0
961,3,3,0
