time-step,number of users,number of winners,social welfare
1,100,100,12377
61,100,100,12377
121,100,100,12377
181,100,100,12377
241,99,99,12223
301,97,98,12118
361,92,92,11251
421,74,74,9148
481,67,67,8282
541,61,63,7893
601,48,48,5899
661,39,39,4775
721,32,33,4113
781,21,21,2547
841,13,13,1596
901,10,10,1251
961,3,3,451
