time-step,number of users,exec time
1,30,1.4036548137664795
61,45,1.7708110809326172
121,75,3.13450288772583
181,91,3.824812412261963
241,99,3.9519598484039307
301,100,3.9801931381225586
361,100,3.992863655090332
421,100,4.279214859008789
481,100,4.428324222564697
541,100,4.418558120727539
601,90,3.6448006629943848
661,59,2.378560781478882
721,38,1.4944605827331543
781,19,0.7513768672943115
