time-step,number of users,number of winners,social welfare
1,32,32,13897
61,49,49,24008
121,69,62,30041
181,91,84,42256
241,100,63,33069
301,98,79,40814
361,91,58,31322
421,80,62,34380
481,74,71,34929
541,61,35,16759
601,45,24,12683
661,40,28,16891
721,30,17,9574
781,12,12,6740
841,3,3,1713
