time-step,number of users,number of winners,prices
1,32,32,0
61,49,49,0
121,69,58,7340.641905586337
181,91,80,18135.669392995784
241,100,63,18552.415545280048
301,98,79,20139.933532603864
361,91,59,13669.93958565022
421,80,68,12798.759662436283
481,74,71,7731.249145021141
541,61,34,9635.624945465148
601,45,22,5610.604836484483
661,40,32,7714.037842357719
721,30,15,5061.172809430255
781,12,12,0
841,3,3,0
