time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0013055801391601562,0.010247468948364258,[]
61,49,0.0018486976623535156,0.01954364776611328,[]
121,69,0.0018162727355957031,0.025017738342285156,[]
181,91,0.00257110595703125,0.04298567771911621,[]
241,100,0.0027456283569335938,0.030007600784301758,[]
301,98,0.0022826194763183594,0.042635440826416016,[]
361,91,0.0020754337310791016,0.027976512908935547,[]
421,80,0.001901388168334961,0.03201484680175781,[]
481,74,0.001958131790161133,0.03412318229675293,[]
541,61,0.0015597343444824219,0.010592222213745117,[]
601,45,0.001619100570678711,0.006946086883544922,[]
661,40,0.0015566349029541016,0.010797739028930664,[]
721,30,0.0012395381927490234,0.004161357879638672,[]
781,12,0.0012934207916259766,0.0029981136322021484,[]
841,3,0.0009248256683349609,0.0011916160583496094,[]
