time-step,number of users,number of winners,prices
1,30,30,0
61,30,30,0
121,30,30,0
181,30,30,0
241,30,30,0
301,30,30,0
361,30,30,0
421,30,30,0
481,30,30,0
541,30,30,0
601,30,30,0
661,30,30,0
721,30,30,0
781,30,30,0
841,30,30,0
901,30,30,0
961,30,30,0
1021,30,30,0
1081,30,30,0
1141,30,30,0
1201,30,30,0
1261,30,30,0
1321,30,30,0
1381,30,30,0
1441,30,30,0
1501,30,30,0
1561,30,30,0
1621,30,30,0
1681,30,30,0
1741,30,30,0
1801,30,30,0
1861,30,30,0
1921,30,30,0
1981,30,30,0
2041,30,30,0
2101,19,19,0
2161,13,13,0
2221,7,7,0
2281,7,7,0
2341,7,7,0
2401,7,7,0
2461,7,7,0
2521,7,7,0
2581,7,7,0
