time-step,number of users,avg latency (for the allocated)
1,30,0.048718855059728755
61,30,0.0644960659824743
121,30,0.030864440586519597
181,30,0.06532356769249038
241,30,0.06810807462603402
301,30,0.05985113169743746
361,30,0.07797252367622202
421,30,0.0838835246762506
481,30,0.02497073286414016
541,30,0.058695721099413053
601,30,0.02875154186804774
661,30,0.05268183621754201
721,30,0.1090865099995458
781,30,0.054466068050820354
841,30,0.03249154829561609
901,30,0.07297642199053148
961,30,0.05102600817795376
1021,30,0.03980542820022689
1081,30,0.08115470018112994
1141,30,0.04694822668481454
1201,30,0.07227542236195651
1261,30,0.035144103332778495
1321,30,0.08062270786786965
1381,30,0.09686611758217047
1441,30,0.11379386830209218
1501,30,0.09215540325608053
1561,30,0.12123311095700981
1621,30,0.060953913666683374
1681,30,0.05968150659030017
1741,30,0.07270059870777637
1801,30,0.04614806362492392
1861,30,0.12108708812053491
1921,30,0.0703013354507343
1981,30,0.08912722564239194
2041,30,0.08300670057634493
2101,19,0.0467376195171847
2161,13,0.042468567091114455
2221,7,0.12772563343508894
2281,7,0.05830944505782969
2341,7,0.07310029771733648
2401,7,0.038029066592104754
2461,7,0.07843313104366302
2521,7,0.05267936334975244
2581,7,0.05530344540782969
