time-step,number of users,avg latency (for the allocated)
1,30,0.0
61,30,0.2523399777930408
121,30,0.20806682292673478
181,30,0.042445523683431484
241,30,0.19643607081763598
301,28,0.007421701152160025
361,28,0.0
421,23,0.0
481,21,0.0
541,15,0.0
601,15,0.0
661,13,0.0
721,9,0.0
781,7,0.0
841,6,0.0
