time-step,number of users,exec time
1,30,5.084084749221802
61,30,4.919909954071045
121,30,4.981074094772339
181,30,5.4123694896698
241,30,4.864958047866821
301,30,4.908906698226929
361,30,4.845675945281982
421,30,4.915116310119629
481,30,4.870659351348877
541,30,4.9103264808654785
601,30,4.846393823623657
661,30,5.226248741149902
721,30,4.862875938415527
781,30,4.840195655822754
841,30,4.836609125137329
901,30,4.843127012252808
961,30,4.82561469078064
1021,30,4.886107921600342
1081,30,4.876884698867798
1141,30,4.852123260498047
1201,30,5.184701681137085
1261,30,4.8522608280181885
1321,30,4.889994144439697
1381,30,4.8851318359375
1441,30,4.891367673873901
1501,30,4.878833532333374
1561,30,4.896107196807861
1621,30,4.870397567749023
1681,30,4.874898433685303
1741,30,4.896324634552002
1801,30,4.881085395812988
1861,30,4.858062028884888
1921,30,4.927296161651611
1981,30,4.932782888412476
2041,30,4.8521339893341064
2101,19,3.1346209049224854
2161,13,2.1038413047790527
2221,7,1.121819257736206
2281,7,1.153351068496704
2341,7,1.1953957080841064
2401,7,1.125520944595337
2461,7,1.1554529666900635
2521,7,1.1483638286590576
2581,7,1.1383881568908691
