time-step,number of users,exec time
1,30,5.305823087692261
61,45,6.9776084423065186
121,75,11.97204041481018
181,91,18.262544631958008
241,99,20.539294004440308
301,100,22.950528860092163
361,100,21.55513024330139
421,100,22.478035926818848
481,100,23.48929786682129
541,100,21.809359788894653
601,90,18.051512479782104
661,59,10.57103967666626
721,38,6.524054527282715
781,19,3.526552438735962
