time-step,number of users,used cloudlets,used cpu avg,used cpu std,unused cpu,used storage avg,used storage std,unused storage,used ram avg,used ram std,unused ram
1,32,4,42.40200892857143,11.14732980692588,230.39196428571427,64.02926974826389,19.965069822711882,230.39196428571427,61.53227153577303,10.354584011089816,153.87091385690786
61,49,7,43.604910714285715,27.457998180589875,394.765625,61.002797929067455,24.644803925815367,394.765625,60.35812492657425,32.97109228935597,277.49312551398026
121,69,8,47.093191964285715,31.100584106246963,423.25446428571433,61.34558783637153,25.925912845952872,423.25446428571433,61.342741313733555,30.46541435986349,309.25806949013156
181,91,10,53.03370535714286,25.081680913459426,469.66294642857144,66.29916720920139,24.009492071019658,469.66294642857144,71.70917711759868,24.796178390613218,282.9082288240132
241,100,6,70.52053571428571,26.90117214458219,176.87678571428572,85.03169307002315,6.726924128215956,176.87678571428572,81.83004814281799,11.4864496210705,109.0197111430921
301,98,8,66.9615513392857,28.95589679900564,264.3075892857143,78.06421915690103,18.579152379690747,264.3075892857143,79.61341456363076,23.5809548709464,163.09268349095396
361,91,6,68.74464285714286,24.5972418948326,187.53214285714284,80.65366391782406,13.012147370881006,187.53214285714284,86.6270901864035,15.474411896822073,80.23745888157895
421,80,7,67.36964285714285,26.338143717676548,228.4125,76.94605267237102,12.272639780973552,228.4125,76.71201318726504,22.236387287165165,163.01590768914474
481,74,8,60.47912946428572,28.912174062662867,316.16696428571424,71.26964992947048,24.906344684358757,316.16696428571424,70.92851337633635,26.381852230285023,232.57189298930925
541,61,4,59.38113839285714,35.59128865526561,162.47544642857142,65.07534450954861,35.62714584982145,162.47544642857142,59.52726665296053,34.085974307646715,161.8909333881579
601,45,3,57.66086309523809,29.86854684544695,127.01741071428572,62.715657552083336,11.916615330320333,127.01741071428572,61.76650733278509,9.207284105205895,114.70047800164473
661,40,4,62.45446428571428,39.296990504506276,150.18214285714285,61.71959771050347,31.129689135261483,150.18214285714285,56.54023822985198,31.667302623622305,173.8390470805921
721,30,2,68.65825892857143,31.173437499999995,62.68348214285715,69.74758572048611,8.045111762152775,62.68348214285715,62.44956568667763,11.209588301809216,75.10086862664474
781,12,2,45.37299107142857,38.238169642857144,109.25401785714286,53.13788519965278,42.00439453125001,109.25401785714286,59.970735248766445,38.904611687911185,80.05852950246711
841,3,1,23.101785714285715,0.0,76.89821428571429,24.346923828125,0.0,76.89821428571429,32.898912931743425,0.0,67.10108706825658
