time-step,number of users,exec time,pricing time,two-phases time
1,32,0.9022462368011475,0.055253028869628906,[]
61,49,1.1835038661956787,0.17750835418701172,[]
121,69,1.6782863140106201,0.6761353015899658,[]
181,91,2.653571844100952,70.28175234794617,[]
241,100,5.955897808074951,125.5555272102356,[]
301,98,2.516089677810669,17.90959596633911,[]
361,91,2.32822322845459,0.928884744644165,[]
421,80,2.1065146923065186,20.84230327606201,[]
481,74,1.893127202987671,0.5078952312469482,[]
541,61,1.5677227973937988,0.9378306865692139,[]
601,45,1.1434011459350586,0.21333050727844238,[]
661,40,1.047013282775879,16.638535261154175,[]
721,30,0.7626767158508301,0.1035311222076416,[]
781,12,0.30762219429016113,0.016562700271606445,[]
841,3,0.07904791831970215,0.0019865036010742188,[]
