time-step,number of users,exec time,pricing time,two-phases time
1,32,0.7399122714996338,47.07646894454956,"[0.01556086540222168, 0.7239296436309814]"
61,49,2.205120325088501,175.37389063835144,"[0.0685570240020752, 2.1358413696289062]"
121,69,3.0640811920166016,225.10289812088013,"[0.061495304107666016, 3.0018389225006104]"
181,91,4.063483953475952,368.21726155281067,"[0.07714366912841797, 3.985600471496582]"
241,100,4.433912515640259,323.02129578590393,"[0.060161590576171875, 4.373026132583618]"
301,98,4.37482476234436,262.2498390674591,"[0.07123923301696777, 4.302847862243652]"
361,91,1.9663324356079102,164.51532101631165,"[0.033870697021484375, 1.9320766925811768]"
421,80,1.7265796661376953,110.92238545417786,"[0.026368141174316406, 1.6984484195709229]"
481,74,1.6029419898986816,126.32768726348877,"[0.03340506553649902, 1.5691547393798828]"
541,61,1.2254486083984375,44.2494683265686,"[0.014332294464111328, 1.2107713222503662]"
601,45,0.9090485572814941,28.260497331619263,"[0.012241601943969727, 0.8964462280273438]"
661,40,0.8075523376464844,20.280903577804565,"[0.010172605514526367, 0.7970163822174072]"
721,30,0.6034860610961914,9.117209911346436,"[0.005968570709228516, 0.5971736907958984]"
781,12,0.2544689178466797,5.57578444480896,"[0.009282588958740234, 0.24485325813293457]"
841,3,0.06657266616821289,0.20091462135314941,"[0.0014238357543945312, 0.06482386589050293]"
