time-step,number of users,exec time
1,1,0.17523527145385742
61,1,0.03301095962524414
121,1,0.03285789489746094
181,1,0.03210330009460449
241,1,0.032450199127197266
301,1,0.03244519233703613
361,1,0.032491207122802734
421,1,0.03649783134460449
481,1,0.031484365463256836
541,1,0.031073808670043945
601,1,0.03195595741271973
661,1,0.03178548812866211
721,1,0.03256702423095703
781,1,0.03199005126953125
841,1,0.03237128257751465
901,1,0.032140254974365234
961,1,0.03089165687561035
1021,1,0.03246116638183594
1081,1,0.039421796798706055
1141,1,0.04575371742248535
1201,1,0.03639030456542969
1261,1,0.03668618202209473
1321,1,0.04286479949951172
1381,1,0.03927803039550781
1441,1,0.03310966491699219
1501,1,0.036581993103027344
1561,1,0.0317537784576416
1621,1,0.03224802017211914
1681,1,0.032083988189697266
1741,1,0.031321048736572266
1801,1,0.033041954040527344
1861,1,0.03258633613586426
1921,1,0.041370391845703125
1981,1,0.032150983810424805
2041,1,0.03300952911376953
