time-step,number of users,number of winners,social welfare
1,32,27,12407
61,49,44,22020
121,69,51,25858
181,91,63,31269
241,100,61,26692
301,98,67,33979
361,91,53,28684
421,80,53,27838
481,74,67,33032
541,61,34,15722
601,45,20,11061
661,40,22,13671
721,30,15,8746
781,12,12,6740
841,3,3,1713
