time-step,number of users,number of winners,social welfare
1,32,32,13897
61,49,49,24008
121,69,56,27934
181,91,84,39248
241,100,60,28928
301,98,70,34848
361,91,58,27335
421,80,61,30698
481,74,71,34552
541,61,34,14589
601,45,24,11000
661,40,30,14900
721,30,21,8032
781,12,12,6740
841,3,3,1713
