time-step,number of users,number of winners,prices
1,100,86,2698.7631058598286
61,100,89,2551.4417442108593
121,100,75,1961.1904263815536
181,100,60,1191.4706719694502
241,99,65,1856.635770585262
301,97,73,1833.5480155733608
361,92,70,1575.5573440579847
421,74,66,1355.4961103026562
481,67,60,732.6580058659056
541,61,62,387.71235585929156
601,48,41,243.87547735612884
661,39,36,810.4185288892508
721,32,29,275.2768424080492
781,21,21,0
841,13,13,0
901,10,9,255.2496767894084
961,3,3,0
