time-step,number of users,number of winners,social welfare
1,30,30,14463
61,45,38,19487
121,75,62,31995
181,91,73,36798
241,99,87,44604
301,100,66,33035
361,100,66,33883
421,100,56,29973
481,100,67,35986
541,100,73,39051
601,90,71,36053
661,59,49,23300
721,38,35,18173
781,19,18,10063
