time-step,number of users,exec time
1,100,0.0013566017150878906
61,100,0.0012097358703613281
121,100,0.0017061233520507812
181,100,0.0011420249938964844
241,99,0.0012195110321044922
301,97,0.0013592243194580078
361,92,0.0011303424835205078
421,74,0.0010263919830322266
481,67,0.0009753704071044922
541,61,0.0011014938354492188
601,48,0.0009131431579589844
661,39,0.0008645057678222656
721,32,0.0007622241973876953
781,21,0.0007231235504150391
841,13,0.0006120204925537109
901,10,0.0005931854248046875
961,3,0.0005421638488769531
