time-step,number of users,avg latency (for the allocated)
1,100,0.0
61,100,0.08132936091376694
121,100,0.19706091474390292
181,100,0.34713035903296796
241,99,0.3443487592095474
301,97,0.2893664505967131
361,92,0.2705212116220258
421,74,0.3186499093611404
481,67,0.4812108231721792
541,61,0.43495354782151063
601,48,0.20302347897574005
661,39,0.4378270951192965
721,32,0.5118000560268386
781,21,0.13910843098844264
841,13,0.4971170038236267
901,10,0.12975585481755694
961,3,0.6055100983401374
