time-step,number of users,exec time,pricing time,two-phases time
1,32,0.2844419479370117,17.780067920684814,[]
61,49,0.2508385181427002,23.475250720977783,[]
121,69,0.8869092464447021,83.75459027290344,[]
181,91,0.8725991249084473,99.16221737861633,[]
241,100,1.3802967071533203,103.89659929275513,[]
301,98,1.2911121845245361,104.37970066070557,[]
361,91,1.2277770042419434,88.13864588737488,[]
421,80,1.1350586414337158,97.53190517425537,[]
481,74,0.699526309967041,86.59950757026672,[]
541,61,1.018430471420288,42.15282392501831,[]
601,45,0.6516880989074707,10.061361312866211,[]
661,40,0.4115748405456543,9.38738203048706,[]
721,30,0.4617280960083008,8.209648847579956,[]
781,12,0.18947672843933105,4.150802135467529,[]
841,3,0.009418010711669922,0.036800384521484375,[]
