time-step,number of users,exec time,pricing time,two-phases time
1,73,0.0016758441925048828,0.05319380760192871,[]
61,101,0.002040863037109375,0.0784294605255127,[]
121,130,0.0023279190063476562,0.10957646369934082,[]
181,163,0.0030062198638916016,0.13115859031677246,[]
241,205,0.003093719482421875,0.2175288200378418,[]
301,234,0.003270387649536133,0.1450810432434082,[]
361,246,0.003647327423095703,0.25278568267822266,[]
421,248,0.004305601119995117,0.20714545249938965,[]
481,250,0.004078865051269531,0.24972128868103027,[]
541,250,0.0037343502044677734,0.20276689529418945,[]
601,250,0.0038254261016845703,0.22681951522827148,[]
661,250,0.0038323402404785156,0.18840646743774414,[]
721,250,0.0040836334228515625,0.23621749877929688,[]
781,250,0.004105806350708008,0.21208596229553223,[]
841,247,0.004038333892822266,0.2534363269805908,[]
901,243,0.004082918167114258,0.24673676490783691,[]
961,227,0.0037994384765625,0.2272200584411621,[]
1021,207,0.004388332366943359,0.1941227912902832,[]
1081,184,0.005658626556396484,0.36473774909973145,[]
1141,151,0.0028057098388671875,0.1215677261352539,[]
1201,133,0.004171133041381836,0.20811939239501953,[]
1261,105,0.002895832061767578,0.06893467903137207,[]
1321,77,0.0017554759979248047,0.04997968673706055,[]
1381,55,0.001646280288696289,0.032921552658081055,[]
1441,40,0.0017218589782714844,0.06376981735229492,[]
1501,35,0.0013103485107421875,0.02108001708984375,[]
1561,17,0.0011942386627197266,0.009290933609008789,[]
1621,14,0.0011372566223144531,0.007498264312744141,[]
1681,11,0.0010628700256347656,0.006105661392211914,[]
1741,10,0.0010161399841308594,0.005317211151123047,[]
1801,8,0.0009703636169433594,0.004212617874145508,[]
1861,8,0.0009768009185791016,0.004242420196533203,[]
1921,7,0.0009510517120361328,0.0036916732788085938,[]
