time-step,number of users,number of winners,social welfare
1,32,32,13897
61,49,49,24008
121,69,60,27223
181,91,82,38095
241,100,66,28933
301,98,76,32875
361,91,67,29230
421,80,68,32092
481,74,72,34646
541,61,40,15027
601,45,28,11988
661,40,32,15810
721,30,21,8877
781,12,12,6740
841,3,3,1713
