time-step,number of users,number of winners,social welfare
1,35,35,15990
61,66,61,30078
121,82,76,35579
181,96,52,27785
241,100,56,29778
301,100,61,31886
361,100,74,37368
421,86,70,32159
481,73,55,25727
541,48,39,18261
601,22,18,8255
661,16,12,6066
721,10,10,4433
781,9,9,3623
