time-step,number of users,number of winners,prices
1,32,29,4661.760348033753
61,43,41,3338.214634226017
121,72,69,1939.605481641886
181,86,62,11184.265998626339
241,97,63,13080.096869217294
301,100,75,15608.618284384671
361,100,59,25602.55765145257
421,100,41,22593.379147701606
481,100,93,6198.901138667177
541,100,75,15558.311985237746
601,100,55,21182.199717546267
661,95,94,9430.568945359555
721,82,67,5622.3964220408625
781,62,59,9893.41480877762
841,51,50,4688.628823560345
901,46,37,5730.064128773334
961,38,37,4128.560749402977
1021,36,34,1750.5494217098494
1081,19,19,0
1141,15,15,0
1201,12,12,0
1261,9,9,0
