time-step,number of users,avg latency (for the allocated)
1,32,0.2048030157523871
61,43,0.2787217256005785
121,72,0.35301689373861034
181,86,0.2717128390075504
241,97,0.20478774523473942
301,100,0.23072576195871736
361,100,0.16184230362668334
421,100,0.09769611117718574
481,100,0.35899677066760666
541,100,0.22688451062699347
601,100,0.15248158834419687
661,95,0.39973923513639403
721,82,0.2782635985694063
781,62,0.3052477130475395
841,51,0.3463952119693382
901,46,0.22620233393881575
961,38,0.17578858897850186
1021,36,0.32971511019368555
1081,19,0.28750668612655966
1141,15,0.3162902372971221
1201,11,0.16840005973387198
1261,9,0.3510740868461517
