time-step,number of users,number of winners,social welfare
1,25,22,10415
61,25,22,10415
121,25,15,6024
181,25,22,10415
241,25,15,6024
301,25,15,6024
361,25,15,6024
421,25,15,6024
481,25,15,6024
541,25,15,6024
601,25,22,10415
661,25,22,10415
721,25,15,6024
781,25,15,6024
841,25,15,6024
