time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
301,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c25,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
301,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c6,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
361,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c25,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
361,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c5,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
421,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
