time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010035037994384766,0.010039329528808594,[]
61,49,0.0012745857238769531,0.018919706344604492,[]
121,69,0.002048492431640625,0.025150299072265625,[]
181,91,0.0017991065979003906,0.04123544692993164,[]
241,100,0.0024766921997070312,0.02998065948486328,[]
301,98,0.003023862838745117,0.04353046417236328,[]
361,91,0.0026803016662597656,0.028780221939086914,[]
421,80,0.002377748489379883,0.03238105773925781,[]
481,74,0.0020194053649902344,0.03387928009033203,[]
541,61,0.0019004344940185547,0.010620832443237305,[]
601,45,0.0011434555053710938,0.006960630416870117,[]
661,40,0.0013756752014160156,0.010686874389648438,[]
721,30,0.0011434555053710938,0.004219770431518555,[]
781,12,0.0013034343719482422,0.0030171871185302734,[]
841,3,0.0007205009460449219,0.0009961128234863281,[]
