time-step,number of users,number of winners,social welfare
1,73,72,35708
61,101,92,49362
121,130,115,63426
181,163,121,68618
241,205,183,101129
301,234,124,75699
361,246,183,105129
421,248,158,91238
481,250,181,100359
541,250,155,89776
601,250,171,99525
661,250,142,84200
721,250,174,98601
781,250,167,96177
841,247,165,95505
901,243,172,98348
961,227,156,86029
1021,207,159,87293
1081,184,135,76766
1141,151,121,68133
1201,133,111,60046
1261,105,76,45055
1321,77,67,36580
1381,55,47,25673
1441,40,34,18912
1501,35,35,17087
1561,17,17,7833
1621,14,14,5825
1681,11,11,3412
1741,10,10,3310
1801,8,8,2408
1861,8,8,2408
1921,7,7,1607
