time-step,number of users,exec time,pricing time,two-phases time
1,32,1.4003655910491943,32.00577187538147,"[0.015494346618652344, 1.3843436241149902]"
61,49,1.1269481182098389,89.83095216751099,"[0.03612565994262695, 1.0903797149658203]"
121,69,1.5647263526916504,115.44868969917297,"[0.03235054016113281, 1.531916856765747]"
181,91,2.0835459232330322,188.5942633152008,"[0.04068255424499512, 2.0424070358276367]"
241,100,2.2718772888183594,165.42967176437378,"[0.031520843505859375, 2.2398924827575684]"
301,98,2.250481605529785,186.8398311138153,"[0.03805279731750488, 2.2119057178497314]"
361,91,2.078564405441284,173.24586510658264,"[0.03662228584289551, 2.041442394256592]"
421,80,1.8373851776123047,117.03430414199829,"[0.02927851676940918, 1.8075623512268066]"
481,74,1.6931827068328857,139.05221319198608,"[0.035323381423950195, 1.6573998928070068]"
541,61,1.372314214706421,49.686869382858276,"[0.016262054443359375, 1.3556227684020996]"
601,45,1.0185906887054443,31.60822319984436,"[0.013762474060058594, 1.0043859481811523]"
661,40,0.9051222801208496,22.774587154388428,"[0.011489629745483398, 0.8932151794433594]"
721,30,0.678563117980957,10.246584177017212,"[0.006764650344848633, 0.6713519096374512]"
781,12,0.2879791259765625,6.248521566390991,"[0.010762453079223633, 0.27677369117736816]"
841,3,0.07450580596923828,0.22427916526794434,"[0.0015711784362792969, 0.07252883911132812]"
