time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010478496551513672,0.010065555572509766,[]
61,49,0.0014309883117675781,0.0192720890045166,[]
121,69,0.0014727115631103516,0.02483224868774414,[]
181,91,0.0019609928131103516,0.043402910232543945,[]
241,100,0.002140045166015625,0.03214383125305176,[]
301,98,0.0022809505462646484,0.04453754425048828,[]
361,91,0.0021402835845947266,0.02834486961364746,[]
421,80,0.0021820068359375,0.03359222412109375,[]
481,74,0.0016889572143554688,0.03360486030578613,[]
541,61,0.0013670921325683594,0.012271642684936523,[]
601,45,0.0011425018310546875,0.00692439079284668,[]
661,40,0.001239776611328125,0.011265277862548828,[]
721,30,0.0009558200836181641,0.004050016403198242,[]
781,12,0.0009374618530273438,0.0029709339141845703,[]
841,3,0.000640869140625,0.0009286403656005859,[]
