time-step,number of users,number of winners,social welfare
1,32,27,12407
61,49,42,21110
121,69,51,25857
181,91,61,30354
241,100,61,26668
301,98,66,33180
361,91,53,28675
421,80,53,27838
481,74,65,32128
541,61,34,15722
601,45,20,11061
661,40,21,12865
721,30,15,8746
781,12,11,5948
841,3,3,1713
