time-step,number of users,number of winners,social welfare
1,144,141,74923
61,190,182,97065
121,255,217,117642
181,321,239,133642
241,382,298,161021
301,436,233,140469
361,480,335,189165
421,493,262,152539
481,496,318,181949
541,500,302,172256
601,500,299,174828
661,500,258,150914
721,500,336,188330
781,500,315,180867
841,494,307,178653
901,484,324,181095
961,458,259,150416
1021,402,290,162884
1081,359,240,133704
1141,299,225,124567
1201,247,164,90477
1261,199,148,85176
1321,153,131,69396
1381,122,97,53356
1441,93,61,35414
1501,75,57,29693
1561,48,30,16355
1621,45,44,24129
1681,32,21,11637
1741,28,19,12109
1801,26,26,15186
1861,20,19,10724
1921,9,9,5576
